"Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG"
"Keegan Murray","UI","35","31.9","23.5","8.8","15.8",".554","1.9","4.7",".398","4.1","5.4",".747","2.9","5.8","8.7","1.5","1.3","1.9"
"Trevor Hudgins","NMSU","39","37.7","23.0","7.4","15.3",".482","4.3","10.4",".415","4.0","4.4",".901","0.1","2.3","2.4","4.3","1.5","0.2"
"Kofi Cockburn","U of I","28","30.7","20.9","8.1","13.6",".593","0.0","0.0",".000","4.8","7.3",".655","3.4","7.2","10.6","0.8","0.8","1.0"
"Scotty Pippen Jr.","VU","36","33.0","20.4","6.2","14.9",".416","1.8","5.5",".325","6.2","8.4",".744","0.8","2.7","3.6","4.4","1.9","0.2"
"Johnny Davis","UW","31","34.2","19.7","6.8","15.9",".427","1.2","3.9",".306","5.0","6.3",".791","1.3","6.9","8.2","2.1","1.2","0.7"
"Orlando Robinson","CSUF","36","33.0","19.4","7.0","14.4",".484","1.0","2.9",".352","4.5","6.3",".716","2.6","5.8","8.4","2.9","1.0","1.2"
"E.J. Liddell","OSU","32","33.2","19.4","6.3","12.9",".490","1.4","3.8",".374","5.3","6.9",".765","2.3","5.7","7.9","2.5","0.6","2.5"
"Julian Champagnie","STJ","31","34.3","19.2","7.1","17.2",".414","2.1","6.2",".337","2.9","3.7",".781","1.4","5.3","6.6","2.0","2.0","1.1"
"David Roddy","CSU","31","32.9","19.2","7.2","12.5",".571","1.5","3.4",".438","3.4","4.9",".691","1.8","5.7","7.5","2.9","1.2","1.1"
"Buddy Boeheim","SU","32","37.8","19.2","6.7","16.4",".406","2.8","8.0",".342","3.1","3.5",".884","0.6","2.8","3.4","3.1","1.5","0.1"
"Ryan Rollins","U of T","34","32.7","18.9","6.8","14.6",".468","1.4","4.4",".311","3.8","4.8",".802","0.7","5.3","6.0","3.6","1.7","0.3"
"AJ Green","UNI","31","36.4","18.8","5.6","13.8",".410","3.0","7.7",".388","4.5","4.9",".915","0.2","3.5","3.7","2.5","0.8","0.0"
"Ochai Agbaji","KU","39","35.0","18.8","6.6","13.9",".475","2.6","6.5",".409","2.9","3.9",".743","0.8","4.2","5.1","1.6","0.9","0.6"
"Alondes Williams","WF","35","34.1","18.5","6.9","13.6",".507","1.1","4.1",".282","3.6","5.2",".691","1.4","5.0","6.4","5.2","1.2","0.4"
"Jalen Williams","SCU","33","34.8","18.0","6.6","12.9",".513","1.3","3.2",".396","3.5","4.3",".809","0.6","3.8","4.4","4.2","1.2","0.5"
"Kameron McGusty","UM","37","34.0","17.8","6.4","13.4",".476","1.6","4.6",".355","3.4","4.2",".814","0.6","4.3","4.9","2.4","1.8","0.3"
"Bennedict Mathurin","U of A","37","32.6","17.7","5.9","13.1",".450","2.2","6.1",".369","3.7","4.8",".764","1.4","4.2","5.6","2.5","1.0","0.3"
"Iverson Molinar","MSU","34","34.1","17.5","6.0","13.3",".454","0.8","3.1",".252","4.6","5.4",".868","0.5","2.6","3.1","3.6","1.2","0.4"
"Dereon Seabron","NCST","32","35.8","17.3","6.3","12.7",".491","0.3","1.3",".256","4.5","6.3",".713","2.7","5.5","8.2","3.2","1.4","0.1"
"Jaden Ivey","PU","36","31.5","17.3","5.6","12.3",".460","1.8","5.0",".358","4.3","5.8",".744","0.7","4.2","4.9","3.1","0.9","0.6"
"Jamaree Bouyea","USF","34","36.2","17.3","6.4","13.7",".470","2.1","5.8",".367","2.3","3.0",".755","0.5","4.5","5.0","4.0","1.8","0.9"
"Paolo Banchero","DUKE","39","33.0","17.2","6.3","13.2",".478","1.1","3.3",".338","3.5","4.8",".729","1.7","6.1","7.8","3.2","1.1","0.9"
"Jabari Smith Jr.","AU","34","28.8","16.9","5.4","12.6",".429","2.3","5.5",".420","3.9","4.8",".799","0.9","6.5","7.4","2.0","1.1","1.0"
"Tari Eason","LSU","33","24.4","16.9","5.8","11.1",".521","0.8","2.4",".359","4.6","5.7",".803","2.3","4.3","6.6","1.0","1.9","1.1"
"Izaiah Brockington","ISU","35","34.5","16.9","6.4","14.4",".447","1.0","2.7",".362","3.1","3.9",".775","1.7","5.2","6.8","1.6","1.3","0.3"
"Bryce McGowens","UNL","31","33.3","16.8","5.2","12.8",".403","1.3","4.7",".274","5.2","6.3",".831","0.7","4.5","5.2","1.4","0.7","0.3"
"Tevin Brown","MSU","34","35.1","16.8","5.5","12.9",".427","3.1","8.1",".384","2.7","3.6",".748","0.6","5.0","5.6","3.1","1.4","0.6"
"Justin Lewis","MU","32","32.2","16.8","6.1","13.8",".440","1.8","5.2",".349","2.8","3.7",".761","1.2","6.8","7.9","1.7","1.1","0.6"
"Kenny Lofton Jr.","LTU","33","27.0","16.5","6.3","11.7",".539","0.1","0.6",".200","3.7","5.5",".672","3.3","7.2","10.5","2.8","1.2","0.7"
"Ron Harper","RU","32","34.3","15.8","5.3","12.1",".442","2.1","5.3",".398","3.0","3.8",".795","1.3","4.6","5.9","1.9","1.0","0.6"
"Hyunjung Lee","DAV","34","32.1","15.8","5.4","11.3",".474","2.4","6.2",".381","2.8","3.6",".777","0.8","5.2","6.0","1.9","0.7","0.3"
"Johnny Juzang","UCLA","30","31.7","15.6","6.0","13.8",".432","1.5","4.2",".360","2.2","2.6",".835","0.8","4.0","4.7","1.8","0.7","0.1"
"Collin Gillespie","VILL","38","34.2","15.6","4.9","11.4",".434","3.0","7.2",".415","2.8","3.1",".905","0.4","3.4","3.8","3.2","1.0","0.0"
"Jared Rhoden","SHU","31","33.2","15.5","5.4","13.8",".390","1.2","3.6",".336","3.5","4.4",".803","1.2","5.5","6.7","1.2","1.2","0.6"
"Brady Manek","UNC","39","30.5","15.1","5.6","11.4",".493","2.5","6.2",".403","1.4","1.9",".697","1.5","4.6","6.1","1.8","0.6","0.7"
"Tyson Etienne","WSU","27","34.3","14.9","4.9","13.7",".359","2.7","8.3",".326","2.3","3.0",".768","0.4","2.4","2.9","2.0","1.1","0.0"
"Quenton Jackson","TAMU","40","26.3","14.8","4.7","9.7",".490","1.1","3.2",".346","4.2","5.1",".828","0.5","3.0","3.5","2.0","1.8","0.6"
"Eric Ayala","UMD","31","33.4","14.7","4.9","12.9",".383","2.4","7.0",".339","2.4","3.5",".688","0.4","4.3","4.6","2.1","0.8","0.1"
"Jabari Walker","CU","33","28.1","14.6","4.8","10.5",".461","1.1","3.2",".346","3.8","4.9",".784","2.1","7.3","9.4","1.2","0.7","0.7"
"Jake LaRavia","WF","33","34.1","14.6","5.0","9.0",".559","0.8","2.2",".384","3.7","4.8",".777","2.1","4.5","6.6","3.7","1.7","1.0"
"Blake Wesley","ND","35","29.3","14.4","5.1","12.6",".404","1.5","5.1",".303","2.7","4.1",".657","0.7","3.0","3.7","2.4","1.3","0.1"
"Isaiah Mobley","USC","32","34.1","14.2","5.0","11.3",".445","1.3","3.8",".352","2.8","4.0",".682","2.2","6.1","8.3","3.3","0.8","0.9"
"Jordan Hall","SJU","30","35.2","14.1","5.2","13.3",".393","2.3","6.3",".362","1.4","1.9",".737","1.0","5.7","6.7","5.8","1.2","0.2"
"Chet Holmgren","GU","32","26.9","14.1","5.3","8.8",".607","1.3","3.3",".390","2.2","3.1",".717","1.8","8.1","9.9","1.9","0.8","3.7"
"Bryson Williams","TTU","37","25.6","14.1","5.5","10.3",".535","1.1","2.6",".417","2.0","2.6",".755","1.4","2.8","4.2","1.1","0.5","0.4"
"Christian Braun","KU","40","34.3","14.1","5.2","10.5",".495","1.3","3.3",".386","2.5","3.4",".733","1.4","5.1","6.5","2.8","1.0","0.8"
"Vince Williams Jr.","VCU","30","32.5","14.1","4.6","9.6",".477","2.2","5.6",".387","2.8","3.4",".814","0.9","5.1","6.0","3.0","1.6","1.1"
"Hugo Besson","NZB","25","27.4","13.9","4.7","12.1",".386","1.9","6.2",".308","2.6","3.3",".795","0.5","3.4","4.0","2.3","0.6","0.0"
"Kennedy Chandler","UT","34","30.8","13.9","5.4","11.5",".464","1.4","3.8",".383","1.8","2.9",".606","0.7","2.6","3.2","4.7","2.2","0.2"
"Aminu Mohammed","GU","31","32.5","13.7","4.6","12.2",".379","0.6","1.9",".310","3.9","5.5",".722","3.2","5.0","8.2","1.8","1.6","0.6"
"Darius Days","LSU","33","29.8","13.7","5.0","11.5",".434","2.1","6.0",".350","1.7","2.4",".700","2.1","5.8","7.8","0.9","1.5","0.3"
"Malaki Branham","OSU","32","29.5","13.7","5.0","10.0",".498","1.2","2.8",".416","2.5","3.0",".833","0.8","2.8","3.6","2.0","0.8","0.3"
"Tyrese Martin","UConn","29","31.9","13.6","5.0","11.1",".449","1.5","3.4",".430","2.1","3.1",".689","2.3","5.2","7.5","1.9","0.8","0.5"
"James Akinjo","BU","32","33.0","13.5","4.6","12.1",".383","1.3","4.3",".295","3.0","3.6",".835","0.4","2.4","2.8","5.8","2.0","0.0"
"Wendell Moore Jr.","DUKE","39","33.9","13.4","4.8","9.6",".500","1.3","3.2",".413","2.4","3.0",".805","1.2","4.1","5.3","4.4","1.4","0.2"
"Jules Bernard","UCLA","35","30.1","12.8","4.2","10.0",".419","1.6","4.7",".337","2.8","3.5",".818","0.8","3.9","4.7","1.7","1.0","0.2"
"Giordano Bortolani","TREV","47","23.2","12.7","4.2","9.2",".455","2.3","5.2",".439","2.1","2.4",".874","0.7","1.9","2.6","1.3","0.4","0.0"
"Donovan Williams","UNLV","27","22.3","12.7","4.5","9.2",".488","1.3","2.9",".436","2.5","3.9",".638","0.9","2.5","3.3","1.1","0.7","0.4"
"Christian Koloko","U of A","37","25.4","12.6","4.9","7.8",".635","0.0","0.1",".000","2.7","3.7",".735","2.6","4.7","7.3","1.4","0.8","2.8"
"TyTy Washington Jr.","UK","31","29.1","12.5","4.9","10.9",".451","1.2","3.3",".350","1.5","2.1",".750","0.6","2.8","3.5","3.9","1.3","0.2"
"Pavel Savkov","ISB","32","23.1","12.3","4.1","9.7",".427","1.8","4.8",".386","2.2","2.6",".843","0.4","2.2","2.5","1.3","0.8","0.1"
"Matteo Spagnolo","CRE","25","27.0","12.2","4.3","9.7",".440","1.2","2.7",".441","2.5","2.9",".861","0.6","2.9","3.5","2.6","0.8","0.0"
"Keon Ellis","UA","33","30.9","12.1","3.7","8.4",".439","2.0","5.5",".366","2.7","3.1",".881","1.9","4.2","6.1","1.8","1.9","0.6"
"Patrick Baldwin Jr.","UWM","11","28.5","12.1","4.1","11.9",".344","1.5","5.8",".266","2.4","3.2",".743","0.9","4.9","5.8","1.5","0.8","0.8"
"Nikola Jović","MEG","29","28.5","12.0","4.2","10.2",".414","1.6","5.0",".315","1.9","2.7",".718","1.0","3.8","4.8","3.6","0.7","0.4"
"Trevion Williams","PU","37","19.9","12.0","4.9","9.0",".547","0.1","0.4",".357","2.0","3.4",".597","2.3","5.2","7.4","3.0","0.9","0.6"
"Jalen Duren","UM","29","25.2","12.0","4.9","8.1",".597","0.0","0.0",".000","2.2","3.6",".625","3.0","5.2","8.1","1.3","0.8","2.1"
"Andrew Nembhard","GU","32","32.1","11.8","4.4","9.7",".452","1.6","4.2",".383","1.5","1.7",".873","0.4","2.9","3.4","5.8","1.6","0.1"
"Gabe Brown","MSU","36","28.9","11.6","4.0","9.3",".428","2.0","5.3",".382","1.6","1.8",".894","0.9","2.9","3.8","1.1","0.7","0.3"
"Karlo Matković","MEG","27","22.1","11.6","4.9","8.0",".609","0.0","0.1",".000","1.9","2.6",".704","2.7","3.5","6.2","1.0","0.5","1.2"
"Trevor Keels","DUKE","36","30.2","11.5","4.1","9.8",".419","1.5","4.8",".312","1.8","2.7",".670","0.8","2.6","3.4","2.7","1.2","0.1"
"Walker Kessler","AU","34","25.5","11.4","4.8","7.9",".608","0.3","1.5",".200","1.6","2.6",".596","2.6","5.4","8.1","0.9","1.1","4.6"
"Ismael Kamagate","PAR","34","27.1","11.3","4.4","6.8",".643","0.0","0.0",".000","2.6","3.9",".654","2.4","3.9","6.3","0.7","0.7","1.6"
"Mark Williams","DUKE","39","23.5","11.2","4.9","6.8",".721","0.0","0.0",".000","1.4","2.0",".727","2.6","4.8","7.4","0.9","0.5","2.8"
"Jaylin Williams","U of A","37","31.7","10.9","3.8","8.3",".461","0.5","1.9",".239","2.8","3.8",".729","1.5","8.3","9.8","2.6","1.3","1.1"
"Gui Santos","MIN","46","25.8","10.5","3.7","8.2",".450","1.0","3.1",".326","2.1","2.9",".729","1.1","3.9","5.0","2.2","0.8","0.8"
"Yoan Makoundou","CHO","36","23.0","10.4","4.1","7.5",".542","0.7","1.8",".369","1.6","2.1",".760","1.6","3.7","5.3","0.8","0.6","1.1"
"AJ Griffin","DUKE","39","23.9","10.4","3.7","7.6",".493","1.8","4.1",".447","1.1","1.4",".792","0.8","3.2","3.9","1.0","0.5","0.6"
"Devante' Jones","UM","33","28.7","10.3","3.8","8.2",".463","0.8","2.4",".342","1.8","2.3",".792","1.1","3.5","4.5","4.6","0.9","0.1"
"Caleb Houstan","UM","34","31.9","10.1","3.2","8.4",".384","1.8","5.0",".355","1.9","2.4",".783","0.8","3.2","4.0","1.4","0.7","0.2"
"Kendall Brown","BU","34","27.0","9.7","3.9","6.6",".584","0.4","1.2",".341","1.5","2.2",".689","1.7","3.1","4.9","1.9","1.0","0.4"
"Max Christie","MSU","35","30.7","9.3","3.2","8.4",".382","1.1","3.5",".317","1.7","2.1",".824","0.9","2.6","3.5","1.5","0.5","0.5"
"Moussa Diabaté","UM","32","24.8","9.0","3.7","6.8",".542","0.1","0.4",".214","1.6","2.6",".619","2.4","3.6","6.0","0.8","0.3","0.9"
"Ousmane Dieng","NZB","23","20.8","8.9","3.5","8.7",".398","1.1","4.2",".271","0.8","1.2",".667","0.5","2.7","3.1","1.0","0.6","0.3"
"JD Davison","UA","33","25.8","8.5","3.0","6.5",".463","0.8","2.5",".301","1.8","2.5",".728","1.1","3.7","4.8","4.3","1.0","0.4"
"Ibou Badji","FOR","38","20.0","8.3","3.4","5.9",".575","0.0","0.0",".000","1.4","2.0",".720","1.6","2.5","4.1","0.3","0.5","1.2"
"Dalen Terry","U of A","37","27.7","8.0","3.1","6.2",".502","0.8","2.1",".364","1.1","1.4",".736","1.2","3.7","4.8","3.9","1.2","0.3"
"Luke Travers","PER","27","22.0","7.8","3.0","7.1",".417","0.6","2.5",".250","1.3","1.9",".680","1.4","4.0","5.4","2.3","0.9","0.7"
"Makur Maker","SYD","21","15.8","7.7","2.2","5.0",".452","0.7","2.1",".333","2.5","3.2",".779","1.2","4.0","5.2","0.7","0.3","0.3"
"Ziga Samar","MON","30","20.7","7.6","2.7","5.6",".485","0.8","1.7",".471","1.3","1.7",".769","0.6","2.1","2.7","4.7","1.0","0.1"
"Gabriele Procida","BOL","26","18.5","7.0","2.3","4.3",".522","0.9","2.3",".383","1.5","2.0",".784","0.6","2.4","3.0","0.7","0.8","0.3"
"Josh Minott","UM","33","14.5","6.6","2.5","4.8",".522","0.1","0.4",".143","1.5","2.0",".754","1.6","2.2","3.8","0.9","0.8","0.7"
"Khalifa Diop","GCN","54","16.0","6.5","2.6","4.1",".621","0.0","0.0",".000","1.4","2.4",".566","1.6","2.5","4.2","0.6","0.5","0.7"
"Eric Ayala","ATL","25","15.6","5.9","1.9","5.1",".378","0.8","2.9",".288","1.2","1.7",".698","0.3","1.7","2.0","1.1","0.6","0.0"
"John Butler","FSU","31","19.0","5.9","2.2","5.4",".416","1.1","2.7",".393","0.4","0.8",".440","0.7","2.5","3.2","0.7","0.4","1.2"
"Peyton Watson","UCLA","32","12.7","3.3","1.2","3.7",".322","0.2","1.0",".226","0.7","1.0",".688","0.9","2.0","2.9","0.8","0.6","0.6"
"Yannick Nzosa","UNI","40","10.4","2.1","0.9","2.4",".379","0.0","0.2",".000","0.3","0.5",".611","0.8","1.0","1.8","0.2","0.3","0.6"