"","","","Roun"
"Rk","Pk","Tm","Player"
"1","1","ORL","Paolo Banchero"
"2","2","OKC","Chet Holmgren"
"3","3","HOU","Jabari Smith Jr."
"4","4","SAC","Keegan Murray"
"5","5","DET","Jaden Ivey"
"6","6","IND","Bennedict Mathurin"
"7","7","POR","Shaedon Sharpe"
"8","8","NOP","Dyson Daniels"
"9","9","SAS","Jeremy Sochan"
"10","10","WAS","Johnny Davis"
"11","11","NYN","Ousmane Dieng"
"12","12","OKC","Jalen Williams"
"13","13","CHO","Jalen Duren"
"14","14","CLE","Ochai Agbaji"
"15","15","CHO","Mark Williams"
"16","16","ATL","AJ Griffin"
"17","17","HOU","Tari Eason"
"18","18","CHI","Dalen Terry"
"19","19","MIN","Jake LaRavia"
"20","20","SAS","Malaki Branham"
"21","21","DEN","Christian Braun"
"22","22","MEM","Walker Kessler"
"23","23","PHI","David Roddy"
"24","24","MIL","MarJon Beauchamp"
"25","25","SAS","Blake Wesley"
"26","26","DAL","Wendell Moore Jr."
"27","27","MIA","Nikola Jović"
"28","28","GSW","Patrick Baldwin Jr."
"29","29","MEM","TyTy Washington Jr."
"30","30","OKC","Peyton Watson"
"","","","Roun"
"Rk","Pk","Tm","Player"
"31","31","IND","Andrew Nembhard"
"32","32","ORL","Caleb Houstan"
"33","33","TOR","Christian Koloko"
"34","34","OKC","Jaylin Williams"
"35","35","LAL","Max Christie"
"36","36","POR","Gabriele Procida"
"37","37","SAC","Jaden Hardy"
"38","38","SAS","Kennedy Chandler"
"39","39","CLE","Khalifa Diop"
"40","40","MIN","Bryce McGowens"
"41","41","NOP","E.J. Liddell"
"42","42","NYN","Trevor Keels"
"43","43","LAC","Moussa Diabaté"
"44","44","ATL","Ryan Rollins"
"45","45","CHO","Josh Minott"
"46","46","DET","Ismael Kamagate"
"47","47","MEM","Vince Williams Jr."
"48","48","MIN","Kendall Brown"
"49","49","CLE","Isaiah Mobley"
"50","50","MIN","Matteo Spagnolo"
"51","51","GSW","Tyrese Martin"
"52","52","NOP","Karlo Matković"
"53","53","BOS","JD Davison"
"","","",""
"","","",""
"56","56","WAS","Yannick Nzosa"
"57","57","GSW","Gui Santos"
"58","58","CLE","Luke Travers"
"59","59","POR","Jabari Walker"
"60","60","IND","Hugo Besson"